,Building,Flat,Area,Location,Connectivity,Price
349,Gulmohar Sky Park,2 BHK,8.76-8.96 aankadam (59-60 sq.m.) Carpet Area,2 BHK Apartment in Dhanori,6,₹ 50.67  - 54.64 L
350,Kumar Peninsula,3 BHK3 Baths,13.82-18.94 aankadam (92-127 sq.m.) Carpet Area,3 BHK Apartment in Baner,15,"₹ 1.51  - 2.07 Cr₹ 15,178/sq.ft."
351,Kalpataru Exquisite,3 BHK,15.58 aankadam (104 sq.m.) Super built-up Area,3 BHK Apartment in Wakad,15,"₹ 1.14 Cr₹ 10,160/sq.ft."
352,Goodwill Meadows4.2 ★,2 BHK2 Baths,4.62 aankadam (31 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,30,"₹ 48 L₹ 14,394/sq.ft."
353,Orchid Homes,3 BHK,15.15 aankadam (101 sq.m.) Carpet Area,3 BHK Apartment in Chinchwad,17,₹ 100 L
354,Orchid Homes,2 BHK,10.83-11.6 aankadam (72-78 sq.m.) Carpet Area,2 BHK Apartment in Chinchwad,17,₹ 73.44  - 78.27 L
355,NG Rathi Vrundavan,2 BHK2 Baths,8.44 aankadam (56 sq.m.) Carpet Area,2 BHK Apartment in Vishrantwadi,49,₹ 56 L
356,Manasi Residency,2 BHK1 Bath,7.99 aankadam (53 sq.m.) Carpet Area,2 BHK Apartment in Kondhwa Budruk,29,₹ 47 L
357,Manasi Residency,1 BHK1 Bath,6.99 aankadam (47 sq.m.) Carpet Area,1 BHK Apartment in Kondhwa Budruk,29,₹ 40 L
358,Townscape Sneh Mithila,2 BHK,11.06 aankadam (74 sq.m.) Carpet Area,2 BHK Apartment in Pimple Saudagar,6,₹ 70 L
359,Mulik Luxuria3.3 ★,2 BHK,10.92-11.26 aankadam (73-75 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,15,₹ 50.62  - 52.05 L
360,Greenville,3 BHK3 Baths,13.78-15.4 aankadam (92-103 sq.m.) Carpet Area,3 BHK Apartment in Hadapsar,4,₹ 96.62 L - 1.08 Cr
361,Unika,2 BHK,11.04 aankadam (74 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,12,₹ 78 L
362,Jhala Group Mahalunge Riviera,3 BHK,13.26-13.74 aankadam (89-92 sq.m.) Carpet Area,3 BHK Apartment in Mahalunge,14,₹ 93.5  - 95 L
363,Rohan VITI,3 BHK,14.79 aankadam (99 sq.m.) Carpet Area,3 BHK Apartment in Wakad,6,₹ 1.25 Cr
364,Rohan VITI,2 BHK,11.08 aankadam (74 sq.m.) Carpet Area,2 BHK Apartment in Wakad,6,₹ 93 L
365,Pride SOHO,3 BHK,13.19 aankadam (88 sq.m.) Carpet Area,3 BHK Apartment in Charholi,12,₹ 74.71 L
366,Pride SOHO,2 BHK,10.87-10.92 aankadam (73-73 sq.m.) Carpet Area,2 BHK Apartment in Charholi,12,₹ 60.25  - 60.51 L
367,JD Gaatha,3 BHK,13.86-14.67 aankadam (93-98 sq.m.) Carpet Area,3 BHK Apartment in Lohegaon,8,₹ 71.87  - 75.72 L
368,JD Gaatha,2 BHK,10.03-11.37 aankadam (67-76 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,8,₹ 53.51  - 59.96 L
369,iLife Upper NIBM,3 BHK,14.24-14.32 aankadam (95-96 sq.m.) Carpet Area,3 BHK Apartment in NIBM,14,₹ 84.65  - 85.11 L
370,iLife Upper NIBM,2 BHK,9.93-12.11 aankadam (66-81 sq.m.) Carpet Area,2 BHK Apartment in NIBM,14,₹ 60.83  - 72.89 L
371,Tikona Srushti,,194.44-321.31 aankadam (1301-2149 sq.m.) Plot Area,Residential land / Plot in Hadashi,5,Price on Request
372,Mulik Luxuria3.3 ★,3 BHK3 Baths,13.94-14.61 aankadam (93-98 sq.m.) Carpet Area,3 BHK Apartment in Wagholi,15,₹ 63.26  - 66.06 L
373,Mulik Luxuria3.3 ★,1 BHK,6.11 aankadam (41 sq.m.) Carpet Area,1 BHK Apartment in Wagholi,15,₹ 28.55 L
374,Rohit Aloha,2 BHK,10.69 aankadam (72 sq.m.) Carpet Area,2 BHK Apartment in Wakad,10,₹ 70.01 L
375,Miravet District,2 BHK,842-869 sq.ft. (78-81 sq.m.) Carpet Area,2 BHK Apartment in Ravet,15,₹ 66.67  - 68.81 L
376,Jogeshwari Sun City4.4 ★,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wagholi,10,"₹ 22 L₹ 2,200/sq.ft."
377,LMS Finswell Woods,2 BHK2 Baths,773-782 sq.ft. (72-73 sq.m.) Carpet Area,2 BHK Apartment in Viman Nagar,47,"₹ 98  - 99 L₹ 12,668/sq.ft."
378,Mangal Shanti Mansha Phase 2,2 BHK2 Baths,640-700 sq.ft. (59-65 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,13,"₹ 45.21  - 49.07 L₹ 7,036/sq.ft."
379,Solitere Emerald Tower,2 BHK,741-805 sq.ft. (69-75 sq.m.) Carpet Area,2 BHK Apartment in Vadgaon Budruk,50,₹ 65  - 70.65 L
380,Kuber Antonia,2 BHK2 Baths,730 sq.ft. (68 sq.m.) Carpet Area,2 BHK Apartment in Wakad,48,₹ 66.57 L
381,Maithili Square,2 BHK,560-729 sq.ft. (52-68 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,6,₹ 40.31  - 52.37 L
382,Anika Piccadilly,2 BHK2 Baths,747 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 55 L₹ 7,362/sq.ft."
383,Mandarin 33 West Avenue,3 BHK,"1,428-1,723 sq.ft. (133-160 sq.m.) Carpet Area",3 BHK Apartment in Baner,49,"₹ 2.21  - 2.97 Cr₹ 16,700/sq.ft."
384,Godrej Woodsville,3 BHK,973 sq.ft. (90 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,6,₹ 99.6 L
385,Godrej Woodsville,2 BHK,771 sq.ft. (72 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,6,₹ 78.1 L
386,Nyati Exuberance,2 BHK,688 sq.ft. (64 sq.m.) Super built-up Area,2 BHK Apartment in Undri,15,₹ 58 L
387,Kalpataru Jade Residences,3 BHK,"1,350 sq.ft. (125 sq.m.) Carpet Area",3 BHK Apartment in Baner,9,"₹ 2.5 Cr₹ 18,518/sq.ft."
388,La Centra,2 BHK,"683-1,548 sq.ft. (63-144 sq.m.) Carpet Area",2 BHK Apartment in Tathawade,7,₹ 56.96  - 92.4 L
389,Madhur Aangan,2 BHK,640-644 sq.ft. (59-60 sq.m.) Carpet Area,2 BHK Apartment in Ravet,7,₹ 49.5 L Onwards
390,Tathawade Mhada,2 BHK,851 sq.ft. (79 sq.m.) Carpet Area,2 BHK Apartment in Tathawade,9,₹ 68 L
391,Shivraj Krushnaraj Park,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wadki,15,₹ 7 L
392,Shapoorji Joyville Sensorium,3 BHK3 Baths,979 sq.ft. (91 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,15,"₹ 1.07 Cr₹ 10,979/sq.ft."
393,Shapoorji Joyville Sensorium,2 BHK2 Baths,715-792 sq.ft. (66-74 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,15,"₹ 78.5  - 86.95 L₹ 10,972/sq.ft."
394,Kolte Patil Crown,2 BHK2 Baths,637-674 sq.ft. (59-63 sq.m.) Carpet Area,2 BHK Apartment in Moshi,15,₹ 38.52  - 40.37 L
395,Elated Khushvista,2 BHK,711-715 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK Apartment in NIBM,15,₹ 49  - 49.28 L
396,Aishwaryam Insignia,2 BHK,670 sq.ft. (62 sq.m.) Carpet Area,2 BHK Apartment in Punawale,5,₹ 48.8 L
397,Royal Purandar,,"10,000 sq.ft. (929 sq.m.) Plot Area",Residential land / Plot in Devadi,5,₹ 55 L₹ 550/sq.ft.
398,Leisure Town,2 BHK2 Baths,743 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,7,₹ 83 L
399,Park Titan,3 BHK,"988-1,212 sq.ft. (92-113 sq.m.) Carpet Area",3 BHK Apartment in Marunji,9,₹ 94 L - 1.16 Cr
400,Leisure Town,1 BHK1 Bath,0.04 rood (43 sq.m.) Carpet Area,1 BHK Apartment in Hadapsar,7,₹ 49 L
401,Park Titan,2 BHK,0.07-0.07 rood (67-73 sq.m.) Carpet Area,2 BHK Apartment in Marunji,9,₹ 70  - 76 L
402,Pethkar Siyona4.4 ★,3 BHK3 Baths,0.1-0.1 rood (101-104 sq.m.) Carpet Area,3 BHK Apartment in Punawale,15,"₹ 1.01  - 1.05 Cr₹ 9,320/sq.ft."
403,Pethkar Siyona4.4 ★,2 BHK2 Baths,0.08-0.08 rood (78-82 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 70  - 74 L₹ 8,371/sq.ft."
404,Ganraj Skydale,2 BHK,0.05-0.06 rood (50-63 sq.m.) Carpet Area,2 BHK Apartment in Undri,15,₹ 35.47  - 45 L
405,Ganraj Skydale,1 BHK1 Bath,0.04-0.04 rood (39-43 sq.m.) Carpet Area,1 BHK Apartment in Undri,15,₹ 27.91  - 30.97 L
406,Vansh Viva,2 BHK,0.06-0.07 rood (64-66 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,9,₹ 43.61  - 44.91 L
407,Vansh Viva,1 BHK,0.04-0.04 rood (41-43 sq.m.) Carpet Area,1 BHK Apartment in Kiwale,9,₹ 30.65  - 32.15 L
408,Shubh Nirvana,3 BHK3 Baths,0.1-0.11 rood (104-116 sq.m.) Carpet Area,3 BHK Apartment in Viman Nagar,31,₹ 1.55  - 1.75 Cr
409,Bright Aristo,2 BHK2 Baths,0.06 rood (63 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,5,₹ 42 L
410,Bright Aristo,1 BHK1 Bath,0.04 rood (45 sq.m.) Carpet Area,1 BHK Apartment in Wagholi,5,₹ 35 L
411,Panchshil Towers4.4 ★,3 BHK,0.15-0.31 rood (153-316 sq.m.) Super built-up Area,3 BHK Apartment in Kharadi,6,"₹ 2.68  - 5.54 Cr₹ 16,265/sq.ft."
412,Kumar Palmcrest,2 BHK2 Baths,0.07 rood (72 sq.m.) Carpet Area,2 BHK Apartment in Pisoli,15,Price on Request
413,Samarth Mrudula Residency,1 BHK,0.03-0.04 rood (35-46 sq.m.) Carpet Area,1 BHK Apartment in Bhosari,34,"₹ 33  - 38 L₹ 7,807/sq.ft."
414,Unika,3 BHK,0.1 rood (99 sq.m.) Carpet Area,3 BHK Apartment in Hadapsar,12,₹ 1.05 Cr
415,Nivasa Enchante,3 BHK3 Baths,0.08 rood (79 sq.m.) Carpet Area,3 BHK Apartment in Lohegaon,7,₹ 79.04 L
416,Nivasa Enchante,2 BHK,0.06-0.07 rood (62-72 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,7,₹ 57.17  - 65.14 L
417,Tirupati Nakshatra,2 BHK,0.06 rood (62 sq.m.) Carpet Area,2 BHK Apartment in Marunji,8,₹ 36.22 L
418,Tirupati Nakshatra,1 BHK,0.04-0.04 rood (42-42 sq.m.) Carpet Area,1 BHK Apartment in Marunji,8,₹ 25.1  - 25.29 L
419,Runal Spacio,3 BHK2 Baths,0.07-0.08 rood (74-84 sq.m.) Carpet Area,3 BHK Apartment in Kiwale,15,"₹ 72  - 80 L₹ 8,913/sq.ft."
420,Runal Spacio,2 BHK2 Baths,0.06-0.07 rood (62-69 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,15,"₹ 62  - 68 L₹ 9,213/sq.ft."
421,Shapoorji Joyville Hadapsar Annexe4.4 ★,3 BHK,0.08 rood (83 sq.m.) Carpet Area,3 BHK Apartment in Shewalewadi,15,₹ 94.4 L
422,Shapoorji Joyville Hadapsar Annexe4.4 ★,2 BHK,0.06-0.07 rood (58-67 sq.m.) Carpet Area,2 BHK Apartment in Shewalewadi,15,₹ 68.2  - 74.2 L
423,Shapoorji Joyville Hadapsar Annexe4.4 ★,1 BHK,0.04 rood (40 sq.m.) Carpet Area,1 BHK Apartment in Shewalewadi,15,₹ 42.02 L
424,Gulmohar Sky Park,2 BHK,0.06-0.06 rood (59-60 sq.m.) Carpet Area,2 BHK Apartment in Dhanori,6,₹ 50.67  - 54.64 L
425,Kumar Peninsula,3 BHK3 Baths,0.09-0.13 rood (92-127 sq.m.) Carpet Area,3 BHK Apartment in Baner,15,"₹ 1.51  - 2.07 Cr₹ 15,178/sq.ft."
426,Kalpataru Exquisite,3 BHK,0.1 rood (104 sq.m.) Super built-up Area,3 BHK Apartment in Wakad,15,"₹ 1.14 Cr₹ 10,160/sq.ft."
427,Goodwill Meadows4.2 ★,2 BHK2 Baths,0.03 rood (31 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,30,"₹ 48 L₹ 14,394/sq.ft."
428,Orchid Homes,3 BHK,0.1 rood (101 sq.m.) Carpet Area,3 BHK Apartment in Chinchwad,17,₹ 100 L
429,Orchid Homes,2 BHK,0.07-0.08 rood (72-78 sq.m.) Carpet Area,2 BHK Apartment in Chinchwad,17,₹ 73.44  - 78.27 L
430,NG Rathi Vrundavan,2 BHK2 Baths,0.06 rood (56 sq.m.) Carpet Area,2 BHK Apartment in Vishrantwadi,49,₹ 56 L
431,Manasi Residency,2 BHK1 Bath,0.05 rood (53 sq.m.) Carpet Area,2 BHK Apartment in Kondhwa Budruk,29,₹ 47 L
432,Manasi Residency,1 BHK1 Bath,0.05 rood (47 sq.m.) Carpet Area,1 BHK Apartment in Kondhwa Budruk,29,₹ 40 L
433,Townscape Sneh Mithila,2 BHK,0.07 rood (74 sq.m.) Carpet Area,2 BHK Apartment in Pimple Saudagar,6,₹ 70 L
434,Mulik Luxuria3.3 ★,2 BHK,0.07-0.07 rood (73-75 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,15,₹ 50.62  - 52.05 L
435,Greenville,3 BHK3 Baths,0.09-0.1 rood (92-103 sq.m.) Carpet Area,3 BHK Apartment in Hadapsar,4,₹ 96.62 L - 1.08 Cr
436,Unika,2 BHK,0.07 rood (74 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,12,₹ 78 L
437,Jhala Group Mahalunge Riviera,3 BHK,0.09-0.09 rood (89-92 sq.m.) Carpet Area,3 BHK Apartment in Mahalunge,14,₹ 93.5  - 95 L
438,Rohan VITI,3 BHK,0.1 rood (99 sq.m.) Carpet Area,3 BHK Apartment in Wakad,6,₹ 1.25 Cr
439,Rohan VITI,2 BHK,0.07 rood (74 sq.m.) Carpet Area,2 BHK Apartment in Wakad,6,₹ 93 L
440,Pride SOHO,3 BHK,0.09 rood (88 sq.m.) Carpet Area,3 BHK Apartment in Charholi,12,₹ 74.71 L
441,Pride SOHO,2 BHK,0.07-0.07 rood (73-73 sq.m.) Carpet Area,2 BHK Apartment in Charholi,12,₹ 60.25  - 60.51 L
442,JD Gaatha,3 BHK,0.09-0.1 rood (93-98 sq.m.) Carpet Area,3 BHK Apartment in Lohegaon,8,₹ 71.87  - 75.72 L
443,JD Gaatha,2 BHK,0.07-0.08 rood (67-76 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,8,₹ 53.51  - 59.96 L
444,iLife Upper NIBM,3 BHK,0.09-0.09 rood (95-96 sq.m.) Carpet Area,3 BHK Apartment in NIBM,14,₹ 84.65  - 85.11 L
445,iLife Upper NIBM,2 BHK,0.07-0.08 rood (66-81 sq.m.) Carpet Area,2 BHK Apartment in NIBM,14,₹ 60.83  - 72.89 L
446,Tikona Srushti,,1.29-2.12 rood (1301-2149 sq.m.) Plot Area,Residential land / Plot in Hadashi,5,Price on Request
447,Mulik Luxuria3.3 ★,3 BHK3 Baths,0.09-0.1 rood (93-98 sq.m.) Carpet Area,3 BHK Apartment in Wagholi,15,₹ 63.26  - 66.06 L
448,Mulik Luxuria3.3 ★,1 BHK,0.04 rood (41 sq.m.) Carpet Area,1 BHK Apartment in Wagholi,15,₹ 28.55 L
449,Rohit Aloha,2 BHK,0.07 rood (72 sq.m.) Carpet Area,2 BHK Apartment in Wakad,10,₹ 70.01 L
450,Miravet District,2 BHK,842-869 sq.ft. (78-81 sq.m.) Carpet Area,2 BHK Apartment in Ravet,15,₹ 66.67  - 68.81 L
451,Jogeshwari Sun City4.4 ★,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wagholi,10,"₹ 22 L₹ 2,200/sq.ft."
452,LMS Finswell Woods,2 BHK2 Baths,773-782 sq.ft. (72-73 sq.m.) Carpet Area,2 BHK Apartment in Viman Nagar,47,"₹ 98  - 99 L₹ 12,668/sq.ft."
453,Solitere Emerald Tower,2 BHK,741-805 sq.ft. (69-75 sq.m.) Carpet Area,2 BHK Apartment in Vadgaon Budruk,50,₹ 65  - 70.65 L
454,Kuber Antonia,2 BHK2 Baths,730 sq.ft. (68 sq.m.) Carpet Area,2 BHK Apartment in Wakad,48,₹ 66.57 L
455,Maithili Square,2 BHK,560-729 sq.ft. (52-68 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,6,₹ 40.31  - 52.37 L
456,Anika Piccadilly,2 BHK2 Baths,747 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 55 L₹ 7,362/sq.ft."
457,Mandarin 33 West Avenue,3 BHK,"1,428-1,723 sq.ft. (133-160 sq.m.) Carpet Area",3 BHK Apartment in Baner,49,"₹ 2.21  - 2.97 Cr₹ 16,700/sq.ft."
458,Godrej Woodsville,3 BHK,973 sq.ft. (90 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,6,₹ 99.6 L
459,Godrej Woodsville,2 BHK,771 sq.ft. (72 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,6,₹ 78.1 L
460,Nyati Exuberance,2 BHK,688 sq.ft. (64 sq.m.) Super built-up Area,2 BHK Apartment in Undri,15,₹ 58 L
461,Kalpataru Jade Residences,3 BHK,"1,350 sq.ft. (125 sq.m.) Carpet Area",3 BHK Apartment in Baner,9,"₹ 2.5 Cr₹ 18,518/sq.ft."
462,La Centra,2 BHK,"683-1,548 sq.ft. (63-144 sq.m.) Carpet Area",2 BHK Apartment in Tathawade,7,₹ 56.96  - 92.4 L
463,Madhur Aangan,2 BHK,640-644 sq.ft. (59-60 sq.m.) Carpet Area,2 BHK Apartment in Ravet,7,₹ 49.5 L Onwards
464,Tathawade Mhada,2 BHK,851 sq.ft. (79 sq.m.) Carpet Area,2 BHK Apartment in Tathawade,9,₹ 68 L
465,Shivraj Krushnaraj Park,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wadki,15,₹ 7 L
466,Shapoorji Joyville Sensorium,3 BHK3 Baths,979 sq.ft. (91 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,15,"₹ 1.07 Cr₹ 10,979/sq.ft."
467,Shapoorji Joyville Sensorium,2 BHK2 Baths,715-792 sq.ft. (66-74 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,15,"₹ 78.5  - 86.95 L₹ 10,972/sq.ft."
468,Kolte Patil Crown,2 BHK2 Baths,637-674 sq.ft. (59-63 sq.m.) Carpet Area,2 BHK Apartment in Moshi,15,₹ 38.52  - 40.37 L
469,Elated Khushvista,2 BHK,711-715 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK Apartment in NIBM,15,₹ 49  - 49.28 L
470,Aishwaryam Insignia,2 BHK,670 sq.ft. (62 sq.m.) Carpet Area,2 BHK Apartment in Punawale,5,₹ 48.8 L
471,Royal Purandar,,"10,000 sq.ft. (929 sq.m.) Plot Area",Residential land / Plot in Devadi,5,₹ 55 L₹ 550/sq.ft.
472,Leisure Town,2 BHK2 Baths,743 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,7,₹ 83 L
473,Park Titan,3 BHK,"988-1,212 sq.ft. (92-113 sq.m.) Carpet Area",3 BHK Apartment in Marunji,9,₹ 94 L - 1.16 Cr
474,Leisure Town,1 BHK1 Bath,460 sq.ft. (43 sq.m.) Carpet Area,1 BHK Apartment in Hadapsar,7,₹ 49 L
475,Leisure Town,1 BHK1 Bath,1.02 chataks (43 sq.m.) Carpet Area,1 BHK Apartment in Hadapsar,7,₹ 49 L
476,Park Titan,2 BHK,1.61-1.75 chataks (67-73 sq.m.) Carpet Area,2 BHK Apartment in Marunji,9,₹ 70  - 76 L
477,Pethkar Siyona4.4 ★,3 BHK3 Baths,2.42-2.49 chataks (101-104 sq.m.) Carpet Area,3 BHK Apartment in Punawale,15,"₹ 1.01  - 1.05 Cr₹ 9,320/sq.ft."
478,Pethkar Siyona4.4 ★,2 BHK2 Baths,1.87-1.96 chataks (78-82 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 70  - 74 L₹ 8,371/sq.ft."
479,Ganraj Skydale,2 BHK,1.2-1.5 chataks (50-63 sq.m.) Carpet Area,2 BHK Apartment in Undri,15,₹ 35.47  - 45 L
480,Ganraj Skydale,1 BHK1 Bath,0.92-1.04 chataks (39-43 sq.m.) Carpet Area,1 BHK Apartment in Undri,15,₹ 27.91  - 30.97 L
481,Vansh Viva,2 BHK,1.53-1.58 chataks (64-66 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,9,₹ 43.61  - 44.91 L
482,Vansh Viva,1 BHK,0.99-1.04 chataks (41-43 sq.m.) Carpet Area,1 BHK Apartment in Kiwale,9,₹ 30.65  - 32.15 L
483,Shubh Nirvana,3 BHK3 Baths,2.48-2.77 chataks (104-116 sq.m.) Carpet Area,3 BHK Apartment in Viman Nagar,31,₹ 1.55  - 1.75 Cr
484,Bright Aristo,2 BHK2 Baths,1.51 chataks (63 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,5,₹ 42 L
485,Bright Aristo,1 BHK1 Bath,1.08 chataks (45 sq.m.) Carpet Area,1 BHK Apartment in Wagholi,5,₹ 35 L
486,Panchshil Towers4.4 ★,3 BHK,3.66-7.57 chataks (153-316 sq.m.) Super built-up Area,3 BHK Apartment in Kharadi,6,"₹ 2.68  - 5.54 Cr₹ 16,265/sq.ft."
487,Kumar Palmcrest,2 BHK2 Baths,1.73 chataks (72 sq.m.) Carpet Area,2 BHK Apartment in Pisoli,15,Price on Request
488,Samarth Mrudula Residency,1 BHK,0.83-1.09 chataks (35-46 sq.m.) Carpet Area,1 BHK Apartment in Bhosari,34,"₹ 33  - 38 L₹ 7,807/sq.ft."
489,Unika,3 BHK,2.37 chataks (99 sq.m.) Carpet Area,3 BHK Apartment in Hadapsar,12,₹ 1.05 Cr
490,Nivasa Enchante,3 BHK3 Baths,1.9 chataks (79 sq.m.) Carpet Area,3 BHK Apartment in Lohegaon,7,₹ 79.04 L
491,Nivasa Enchante,2 BHK,1.49-1.71 chataks (62-72 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,7,₹ 57.17  - 65.14 L
492,Tirupati Nakshatra,2 BHK,1.48 chataks (62 sq.m.) Carpet Area,2 BHK Apartment in Marunji,8,₹ 36.22 L
493,Tirupati Nakshatra,1 BHK,1-1.01 chataks (42-42 sq.m.) Carpet Area,1 BHK Apartment in Marunji,8,₹ 25.1  - 25.29 L
494,Runal Spacio,3 BHK2 Baths,1.78-2.01 chataks (74-84 sq.m.) Carpet Area,3 BHK Apartment in Kiwale,15,"₹ 72  - 80 L₹ 8,913/sq.ft."
495,Runal Spacio,2 BHK2 Baths,1.49-1.64 chataks (62-69 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,15,"₹ 62  - 68 L₹ 9,213/sq.ft."
496,Shapoorji Joyville Hadapsar Annexe4.4 ★,3 BHK,1.99 chataks (83 sq.m.) Carpet Area,3 BHK Apartment in Shewalewadi,15,₹ 94.4 L
497,Shapoorji Joyville Hadapsar Annexe4.4 ★,2 BHK,1.38-1.61 chataks (58-67 sq.m.) Carpet Area,2 BHK Apartment in Shewalewadi,15,₹ 68.2  - 74.2 L
498,Shapoorji Joyville Hadapsar Annexe4.4 ★,1 BHK,0.96 chataks (40 sq.m.) Carpet Area,1 BHK Apartment in Shewalewadi,15,₹ 42.02 L
499,Gulmohar Sky Park,2 BHK,1.4-1.43 chataks (59-60 sq.m.) Carpet Area,2 BHK Apartment in Dhanori,6,₹ 50.67  - 54.64 L
500,Kumar Peninsula,3 BHK3 Baths,2.21-3.03 chataks (92-127 sq.m.) Carpet Area,3 BHK Apartment in Baner,15,"₹ 1.51  - 2.07 Cr₹ 15,178/sq.ft."
501,Kalpataru Exquisite,3 BHK,2.49 chataks (104 sq.m.) Super built-up Area,3 BHK Apartment in Wakad,15,"₹ 1.14 Cr₹ 10,160/sq.ft."
502,Goodwill Meadows4.2 ★,2 BHK2 Baths,0.74 chataks (31 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,30,"₹ 48 L₹ 14,394/sq.ft."
503,Orchid Homes,3 BHK,2.42 chataks (101 sq.m.) Carpet Area,3 BHK Apartment in Chinchwad,17,₹ 100 L
504,Orchid Homes,2 BHK,1.73-1.86 chataks (72-78 sq.m.) Carpet Area,2 BHK Apartment in Chinchwad,17,₹ 73.44  - 78.27 L
505,NG Rathi Vrundavan,2 BHK2 Baths,1.35 chataks (56 sq.m.) Carpet Area,2 BHK Apartment in Vishrantwadi,49,₹ 56 L
506,Manasi Residency,2 BHK1 Bath,1.28 chataks (53 sq.m.) Carpet Area,2 BHK Apartment in Kondhwa Budruk,29,₹ 47 L
507,Manasi Residency,1 BHK1 Bath,1.12 chataks (47 sq.m.) Carpet Area,1 BHK Apartment in Kondhwa Budruk,29,₹ 40 L
508,Townscape Sneh Mithila,2 BHK,1.77 chataks (74 sq.m.) Carpet Area,2 BHK Apartment in Pimple Saudagar,6,₹ 70 L
509,Mulik Luxuria3.3 ★,2 BHK,1.75-1.8 chataks (73-75 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,15,₹ 50.62  - 52.05 L
510,Greenville,3 BHK3 Baths,2.2-2.46 chataks (92-103 sq.m.) Carpet Area,3 BHK Apartment in Hadapsar,4,₹ 96.62 L - 1.08 Cr
511,Unika,2 BHK,1.77 chataks (74 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,12,₹ 78 L
512,Jhala Group Mahalunge Riviera,3 BHK,2.12-2.2 chataks (89-92 sq.m.) Carpet Area,3 BHK Apartment in Mahalunge,14,₹ 93.5  - 95 L
513,Rohan VITI,3 BHK,2.37 chataks (99 sq.m.) Carpet Area,3 BHK Apartment in Wakad,6,₹ 1.25 Cr
514,Rohan VITI,2 BHK,1.77 chataks (74 sq.m.) Carpet Area,2 BHK Apartment in Wakad,6,₹ 93 L
515,Pride SOHO,3 BHK,2.11 chataks (88 sq.m.) Carpet Area,3 BHK Apartment in Charholi,12,₹ 74.71 L
516,Pride SOHO,2 BHK,1.74-1.75 chataks (73-73 sq.m.) Carpet Area,2 BHK Apartment in Charholi,12,₹ 60.25  - 60.51 L
517,JD Gaatha,3 BHK,2.22-2.35 chataks (93-98 sq.m.) Carpet Area,3 BHK Apartment in Lohegaon,8,₹ 71.87  - 75.72 L
518,JD Gaatha,2 BHK,1.6-1.82 chataks (67-76 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,8,₹ 53.51  - 59.96 L
519,iLife Upper NIBM,3 BHK,2.28-2.29 chataks (95-96 sq.m.) Carpet Area,3 BHK Apartment in NIBM,14,₹ 84.65  - 85.11 L
520,iLife Upper NIBM,2 BHK,1.59-1.94 chataks (66-81 sq.m.) Carpet Area,2 BHK Apartment in NIBM,14,₹ 60.83  - 72.89 L
521,Tikona Srushti,,31.11-51.41 chataks (1301-2149 sq.m.) Plot Area,Residential land / Plot in Hadashi,5,Price on Request
